種類,英文,中文
褲,Front Rise from Top Edge of Waistband,前襠 - 頂邊量
褲,Back Rise from Top Edge of Waistband,後襠 - 頂邊量
褲,Low Hip @ Specified Position - Flat - 3 point,臀圍 - 3點量 (平量)
褲,Knee Placement on Inseam Down from Crotch,膝圍位置-內長從襠點下量
褲,Inseam - Pants,內長
褲,Hem Height,褲口高
褲,Gusset Length - CF to CB @ center - seam to seam,襠底長 - 中心量(前中到後中) - 縫到縫
褲,Gusset Width - Inseam - seam to seam,襠底寬 - 內長量 - 縫到縫
褲,Front Pocket Opening along Waistband,口袋開口位置-斜邊至開口量
褲,Front Pocket Opening Down SS below WB,口袋開口-腰縫量至口袋底
褲,Front Pocket Bag Width - edge to edge,袋布寬 - 邊到邊
褲,Front Pocket Bag Height - edge to edge,袋布長 - 邊到邊
褲,Drawcord Length - Flat,腰繩長 (平量)-半圈
褲,Coin Pocket,零錢袋
褲,Coin Pocket Opening along Top Edge,零錢袋開口寬
褲,Coin Pocket Height - edge to edge,零錢袋高-邊到邊
褲,Yoke Height @ CB,約克高-後中量
褲,Yoke Height @ Side Seam,約克高-斜邊量
褲,Waistband Height - ELASTIC WAIST,腰高
上衣,ELASTIC,鬆緊帶
上衣,CLEAR ELASTIC ,"1/4""透明併肩帶"
上衣,INCLUDING,含
上衣,EXCLUDING,不含
上衣,Flat,平量(半圈)
上衣,Straight,直量
上衣,Circumference,整圈
上衣,Mobilon tape,QQ帶
上衣,FT,前
上衣,Front,前
上衣,BK,後
上衣,Back,後
上衣,Center Back,後中
上衣,CB,後中
上衣,Center front,前中
上衣,CF,前中
上衣,AH,袖隴
上衣,Width,寬
上衣,clean finished,面無壓線
上衣,HPS,肩高點
上衣,edge,邊
上衣,Self fabric,本布
上衣,Rib,羅紋
上衣,Pad,罩杯
上衣,Body Length,身長
上衣,Bra Length,身長
上衣,Bra Length at CF from HPS to Edge,前身長-肩高點量
上衣,Bra Length at CB from HPS to Edge,後身長-肩高點量
上衣,CF Body Length from HPS - Top,前身長-肩高點量
上衣,CB Body Length from HPS - Top,後身長-肩高點量
上衣,NECK,領
上衣,Back neck tape,後領貼條
上衣,V Neck,V領
上衣,Neckband,領高
上衣,Crew,圓領
上衣,Neckline,領圍
上衣,Neck Width,領寬
上衣,Front Neck Drop,前領深
上衣,Back Neck Drop,後領深
上衣,Neck seam,領縫
上衣,Collar ,領
上衣,Collar Height,領高
上衣,Collar Length,領長
上衣,Neck Width Edge to Edge,領寬-邊到邊
上衣,Mock Neck,立領
上衣,Minimum Neck Extended - Circumference,最小領拉量 - 整圈
上衣,Shoulder ,肩
上衣,Shoulder seam,肩縫
上衣,Shoulder Forward,肩前傾
上衣,Shoulder Slope,肩斜
上衣,Shoulder Strap,肩帶寬
上衣,Shoulder Seam Forward,肩縫前傾
上衣,Sleeve,袖
上衣,Sleeve Opening ,袖口
上衣,Sleeve Hem Height,袖口高
上衣,Undersleeve,袖下
上衣,Cuff,袖口
上衣,Cuff Height,袖口高
上衣,Hem,下襬
上衣,Bottom Hem,下襬
上衣,Hi -Low Curved Hem,弧形下襬
上衣,Side seam,脇邊
上衣,SS,脇邊
上衣,Side seam forward from fold,脇邊前移
上衣,3 point,三點量
上衣,Thumbholes,拇指洞
上衣,Thumbhole placement from Sleeve Opening edge,姆指洞開口位置距袖口
上衣,Thumbhole opening length - inside edge to edge,姆指洞開口長-邊到邊
上衣,Turnover,本布反折
上衣,Turnback,本布反折
上衣,Binding ,滾條
上衣,Binding Width,滾條寬
上衣,armhole,袖攏
上衣,armhole seam,袖攏縫
上衣,Armhole Drop,袖攏深
上衣,Front Armhole @ Edge,前袖攏-沿邊量
上衣,Armhole join seam,袖攏接縫
上衣,Across Shoulder,肩寬
上衣,Separate band,剪接下擺
上衣,Sweep - Straight - Flat,下襬-直量-半圈
上衣,Bra Sweep at Edge Relaxed - Flat,下擺-延邊平量
上衣,Racerback ,後背寬
上衣,Racerback Width,後背寬
上衣,CB Keyhole Height,後中開洞高
上衣,CB Keyhole Width,後中開洞寬
上衣,Elastic Height,鬆緊帶高
上衣,Shirt Tail Drop,下擺幅度
上衣,Curved Panels,弧形剪接
上衣,DTM,同大身色
上衣,Forward,前移
上衣,Backward,後移
上衣,Hood,帽
上衣,Hood lining,帽內裡
上衣,Hood Cross over,帽子前中交叉
上衣,Hood Height,帽高
上衣,Chest,胸圍
上衣,"Chest/Bust - 1"" below Armhole - Flat","胸圍-腋點下1""-平量"
上衣,Chest/Bust @ Armhole - Flat,胸圍-腋點-平量
上衣,Across Front Position Down from HPS,前胸寬量位-距肩高點下
上衣,Across front @ specified Position - Edge to Edge,前胸寬
上衣,WAIST,腰圍
上衣,Waist Placement from HPS,腰圍量點-距肩高點下
上衣,Waist @ Specified Position - Flat,腰圍@腰圍量位-平量
上衣,Hip ,臀圍
上衣,High Hip Position from HPS,臀圍量位-距肩高點下
上衣,High Hip @ specified position - Flat - 3 point,臀圍-平量-半圈-3點量
上衣,Sleeve Length LS from CB -3 point,袖長 - 距後中3點量
上衣,"Bicep/Muscle - 1"" Below Armhole - Flat","臂圍 - 腋下1"" - 平量(半圈)"
上衣,Elbow ,肘圍
上衣,Elbow Placement Below Armhole on inseam,肘圍量點 - 腋點下
上衣,Elbow @ specified Placement - Flat,肘圍 - 半圈平量
上衣,POCKET,口袋
上衣,INSIDE POCKET,內口袋
上衣,POCKET BAG,袋布
上衣,POCKET FLAP ,袋蓋
上衣,POCKET PLACMENT,口袋位置
上衣,Pocket Opening Placement from WB seam at SS,口袋開口位置-腰縫下沿側邊量
上衣,Pocket Opening at Edge on Seam,口袋開口寬-邊~縫量
上衣,Pocket Bag Width - edge to edge,袋布寬-邊到邊
上衣,Pocket Bag Height - edge to edge,袋布高-邊到邊
上衣,Pocket Bag Width @Bottom - edge to edge,袋布底寬-邊~邊
上衣,Pocket Opening Band Height,袋口高
上衣,POCKET OPENING LENGTH,袋口高
上衣,POCKET OPENING,袋口長
上衣,POCKET OPENING WIDTH,袋口寬
上衣,PATCH POCKET HEIGHT,貼袋高
上衣,PATCH POCKET WIDTH,貼袋寬
上衣,POCKET HEM HEIGHT,口袋高
上衣,POCKET BAG HEIGHT ,口袋高
上衣,POCKET BAG WIDTH,口袋寬
上衣,ZIPPER POCKET OPENING,拉鍊口袋袋口寬
上衣,POCKET FLAP HEIGH,袋蓋高
上衣,POCKET BAG WIDTH - SIDE BODY,側口袋寬
上衣,POCKET BAG HEIGHT - SIDE BODY,側口袋高
上衣,POCKET OPENING HEIGH,袋口高
上衣,POCKET OPENING BAND HEIGHT,袋口高
